"source_system","source_archive_path","source_file","extraction_run_date","promotion_status","zip_path","extension","size_bytes","likely_file_type","content_classification","manual_review_recommended"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","file-CRqymNsjJWxfh9fVuSYGwy-VID_20260331_083925.mp4","2026-05-17","Raw / Unreviewed","file-CRqymNsjJWxfh9fVuSYGwy-VID_20260331_083925.mp4",".mp4","32853814","media","media/binary","yes"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","file_0000000067f871f880646effff3fb62b-9fa2b696-8f59-42ed-b7e5-560cffccc774.pdf","2026-05-17","Raw / Unreviewed","file_0000000067f871f880646effff3fb62b-9fa2b696-8f59-42ed-b7e5-560cffccc774.pdf",".pdf","7499403","document","document/binary","yes"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","file_00000000695c71fd88e8eff824b35565-9fa2b696-8f59-42ed-b7e5-560cffccc774.pdf","2026-05-17","Raw / Unreviewed","file_00000000695c71fd88e8eff824b35565-9fa2b696-8f59-42ed-b7e5-560cffccc774.pdf",".pdf","7499403","document","document/binary","yes"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","file_00000000a48471fdb487f403efd1076e-9fa2b696-8f59-42ed-b7e5-560cffccc774.pdf","2026-05-17","Raw / Unreviewed","file_00000000a48471fdb487f403efd1076e-9fa2b696-8f59-42ed-b7e5-560cffccc774.pdf",".pdf","7499403","document","document/binary","yes"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","file_000000002db0722fb22ffe7304dc2ffe-Site Layout - Base Model 2.png","2026-05-17","Raw / Unreviewed","file_000000002db0722fb22ffe7304dc2ffe-Site Layout - Base Model 2.png",".png","6781032","image","media/binary","yes"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","file_0000000038e871f5ab485473a0b0a7de-Site Layout - Base Model 2.png","2026-05-17","Raw / Unreviewed","file_0000000038e871f5ab485473a0b0a7de-Site Layout - Base Model 2.png",".png","6781032","image","media/binary","yes"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","file_000000004a28722f9aa22cf56f9da61e-Site Layout - Base Model 2.png","2026-05-17","Raw / Unreviewed","file_000000004a28722f9aa22cf56f9da61e-Site Layout - Base Model 2.png",".png","6781032","image","media/binary","yes"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","file_00000000d1bc71fdb10d454bc72d0f12-Site Layout - Base Model 2.png","2026-05-17","Raw / Unreviewed","file_00000000d1bc71fdb10d454bc72d0f12-Site Layout - Base Model 2.png",".png","6781032","image","media/binary","yes"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","file_0000000051c0722f80d99be031cb6b68-Camps Layout - 9 Building.png","2026-05-17","Raw / Unreviewed","file_0000000051c0722f80d99be031cb6b68-Camps Layout - 9 Building.png",".png","6779623","image","media/binary","yes"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","file_000000007734722fbebd6a39b77c2d6d-Camps Layout - 9 Building.png","2026-05-17","Raw / Unreviewed","file_000000007734722fbebd6a39b77c2d6d-Camps Layout - 9 Building.png",".png","6779623","image","media/binary","yes"
