"source_system","source_archive_path","source_file","conversation_id","title","create_time","update_time","model_slug","is_archived","is_starred","is_temporary_chat","is_read_only","approximate_message_count","observed_roles","primary_domain","domain_matches","keyword_matches","sensitivity_flags","extraction_run_date","promotion_status"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","conversations-000.json","0ab15b9f-c4f7-4c67-9b5c-c3adfef9b67c","","2022-12-12T20:04:15Z","2022-12-12T20:04:15Z","","false","","false","","3","assistant|system|user","AI_Systems_Command_Layer","AI_Systems_Command_Layer","prompt","promotion_candidate","2026-05-17","Raw / Unreviewed"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","conversations-007.json","fc7ba434-d7a9-4a95-afb9-bad627df0e49","Trinity Logo Request","2024-08-14T23:45:19Z","2024-08-14T23:46:04Z","gpt-4o","false","","false","","11","assistant|system|tool|user","AI_Systems_Command_Layer","AI_Systems_Command_Layer","chatgpt|prompt","promotion_candidate","2026-05-17","Raw / Unreviewed"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","conversations-000.json","67c306fe-0048-8000-a649-599bd15feb81","Dining Room Conversion Tips","2025-03-01T13:09:18Z","2025-03-02T18:24:15Z","gpt-4o","false","","false","","43","assistant|system|tool|user","AI_Systems_Command_Layer","AI_Systems_Command_Layer","chatgpt|prompt","promotion_candidate","2026-05-17","Raw / Unreviewed"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","conversations-000.json","6807fdb6-368c-8000-a733-8eb70e4a3e71","Golf Photo Roast","2025-04-22T20:36:06Z","2025-04-22T22:21:33Z","gpt-4o","false","","false","","13","assistant|system|tool|user","AI_Systems_Command_Layer","AI_Systems_Command_Layer","prompt","promotion_candidate","2026-05-17","Raw / Unreviewed"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","conversations-001.json","68270cdf-e3cc-8000-942a-b947ec3d63a4","Master Bedroom Design Help","2025-05-16T10:01:05Z","2025-05-16T10:49:52Z","gpt-4o","false","","false","","49","assistant|system|tool|user","AI_Systems_Command_Layer","AI_Systems_Command_Layer","prompt","promotion_candidate","2026-05-17","Raw / Unreviewed"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","conversations-001.json","687d0b46-90e4-8000-9efc-29e0e4bb9395","ChatGPT Social Media Help","2025-07-20T15:29:11Z","2025-07-20T15:40:49Z","gpt-4o","false","","false","","20","assistant|system|tool|user","AI_Systems_Command_Layer","AI_Systems_Command_Layer","chatgpt|prompt","promotion_candidate","2026-05-17","Raw / Unreviewed"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","conversations-001.json","6897b4ba-27ec-8328-8f5a-41ff49d5b467","Professional photo ideas","2025-08-09T20:51:52Z","2025-08-09T21:10:54Z","gpt-5","false","","false","","12","assistant|system|tool|user","AI_Systems_Command_Layer","AI_Systems_Command_Layer","prompt","promotion_candidate","2026-05-17","Raw / Unreviewed"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","conversations-001.json","68a1f32b-6de0-832f-8e56-2fa1f0680c66","T-shirt design ideas","2025-08-17T15:20:31Z","2025-08-18T23:28:11Z","gpt-5","false","","false","","21","assistant|system|tool|user","AI_Systems_Command_Layer","AI_Systems_Command_Layer","prompt","promotion_candidate","2026-05-17","Raw / Unreviewed"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","conversations-001.json","68bd947f-5ea0-832c-913d-39b9f5d15753","Agent vs Grok comparison","2025-09-07T14:20:25Z","2025-09-07T15:48:38Z","gpt-4o","false","","false","","221","assistant|system|tool|user","AI_Systems_Command_Layer","AI_Systems_Command_Layer","agent","promotion_candidate","2026-05-17","Raw / Unreviewed"
"ChatGPT","C:\Users\dpc\Oak Ridge Management(1)\Oak Ridge Management - Documents\09_AI_Systems\ChatGPT_Export\Raw\6983b8f97d5512829399371574d104cdfd9ecd2ee5a5ebf50cdbdf3da8b6aac5-2026-05-16-12-56-21-249ce10772524f68bfa173bea492c753.zip","conversations-002.json","68e85580-3a60-8321-8c69-891c0abb19f8","Selfie transformation request","2025-10-10T00:38:47Z","2025-10-10T00:42:19Z","gpt-4o","false","","false","","14","assistant|system|tool|user","AI_Systems_Command_Layer","AI_Systems_Command_Layer","prompt","promotion_candidate","2026-05-17","Raw / Unreviewed"
