"source_system","source_archive_path","source_file","session_id","ai_title","cwd","git_branch","first_timestamp","last_timestamp","event_count","observed_event_types","approximate_user_event_count","approximate_assistant_event_count","workspace_hint","imported_thread_id","imported_at","primary_domain","domain_matches","keyword_matches","sensitivity_flags","extraction_run_date","promotion_status"
"Claude","C:\Users\dpc\.claude\projects","C:\Users\dpc\.claude\projects\C--Users-dpc\fb3a79c6-b56d-4874-9954-f47ca23e01d1.jsonl","fb3a79c6-b56d-4874-9954-f47ca23e01d1","Locate and edit existing project","C:\Users\dpc","HEAD","2026-05-09T16:26:29","2026-05-09T16:26:38","12","ai-title|assistant|attachment|file-history-snapshot|last-prompt|queue-operation|user","1","3","dpc","019e1c9b-8656-73e2-9346-9c20b2a53d72","2026-05-12T14:33:40Z","AI_Systems_Command_Layer","AI_Systems_Command_Layer","claude","promotion_candidate","2026-05-17","Raw / Unreviewed"
"Claude","C:\Users\dpc\.claude\projects","C:\Users\dpc\.claude\projects\c--Users-dpc-Oak-Ridge-Management-1--DG-Energy---Infrastruction---Documents-01-Platform-01-Thesis-and-Narrative-CEH-Index\f3800bbd-a7b8-4241-8062-af98db8aaecc.jsonl","f3800bbd-a7b8-4241-8062-af98db8aaecc","Review CEH exam context files","c:\Users\dpc\Oak Ridge Management(1)\DG Energy & Infrastruction - Documents\01_Platform\01_Thesis_and_Narrative\CEH Index","HEAD","2026-04-28T21:14:14","2026-04-29T14:24:18","527","ai-title|assistant|attachment|file-history-snapshot|last-prompt|queue-operation|system|user","113","227","CEH Index","019e1c9c-9ed8-7502-9e16-cff3255767ab","2026-05-12T14:34:51Z","ORM","ORM|CEH|DGEI|AI_Systems_Command_Layer","oak ridge management|ceh|ceh index|dg energy|infrastruction|claude","partner_consent_required|promotion_candidate","2026-05-17","Raw / Unreviewed"
"Claude","C:\Users\dpc\.claude\projects","C:\Users\dpc\.claude\projects\c--Users-dpc-Oak-Ridge-Management-1--DG-Energy---Infrastruction---Documents-01-Platform-01-Thesis-and-Narrative-CEH-Index\6ff113bc-83b2-4fc1-bf2e-aac00a567e49.jsonl","6ff113bc-83b2-4fc1-bf2e-aac00a567e49","Debug issue with application runtime","c:\Users\dpc\Oak Ridge Management(1)\DG Energy & Infrastruction - Documents\01_Platform\01_Thesis_and_Narrative\CEH Index","HEAD","2026-04-29T14:31:22","2026-04-29T15:24:22","189","ai-title|assistant|attachment|file-history-snapshot|last-prompt|queue-operation|user","50","107","CEH Index","019e1c9c-8aee-7603-a120-20dff1aa7d11","2026-05-12T14:34:46Z","ORM","ORM|CEH|DGEI|AI_Systems_Command_Layer","oak ridge management|ceh|ceh index|dg energy|infrastruction|claude","partner_consent_required|promotion_candidate","2026-05-17","Raw / Unreviewed"
"Claude","C:\Users\dpc\.claude\projects","C:\Users\dpc\.claude\projects\c--Users-dpc-Oak-Ridge-Management-1--DG-Energy---Infrastruction---Documents-01-Platform-01-Thesis-and-Narrative-CEH-Index\98256a9b-5c93-4315-b898-9355f2c53776.jsonl","98256a9b-5c93-4315-b898-9355f2c53776","Oak Ridge Management website design","c:\Users\dpc\Oak Ridge Management(1)\DG Energy & Infrastruction - Documents\01_Platform\01_Thesis_and_Narrative\CEH Index","HEAD","2026-04-29T22:36:30","2026-04-29T23:18:28","83","ai-title|assistant|attachment|file-history-snapshot|last-prompt|queue-operation|user","19","34","CEH Index","019e1c9c-7706-7fb1-9c67-523cf4427c23","2026-05-12T14:34:41Z","ORM","ORM|CEH|DGEI|AI_Systems_Command_Layer","oak ridge management|ceh|ceh index|dg energy|infrastruction|claude","partner_consent_required|promotion_candidate","2026-05-17","Raw / Unreviewed"
"Claude","C:\Users\dpc\.claude\projects","C:\Users\dpc\.claude\projects\c--Users-dpc-OneDrive---Oak-Ridge-Management--1--Documents-GitHub-oakridgemanagement\a654093e-fa82-4e1b-9bdc-9b0c9113636d.jsonl","a654093e-fa82-4e1b-9bdc-9b0c9113636d","New coding session","c:\Users\dpc\OneDrive - Oak Ridge Management (1)\Documents\GitHub\oakridgemanagement","master","2026-04-29T23:37:21","2026-04-29T23:59:49","79","ai-title|assistant|attachment|file-history-snapshot|last-prompt|queue-operation|user","14","25","oakridgemanagement","019e1c9c-6318-7603-928b-8999738267f4","2026-05-12T14:34:36Z","ORM","ORM|AI_Systems_Command_Layer|Code_Repo_Work","oak ridge management|oakridgemanagement|claude|github","code_repo_sensitive|promotion_candidate","2026-05-17","Raw / Unreviewed"
"Claude","C:\Users\dpc\.claude\projects","C:\Users\dpc\.claude\projects\c--Users-dpc-Oak-Ridge-Management-1--DG-Energy---Infrastruction---Documents-01-Platform-01-Thesis-and-Narrative-CEH-Index\2d66ac0c-e6a5-4ce3-a1dc-a35b739eda6f.jsonl","2d66ac0c-e6a5-4ce3-a1dc-a35b739eda6f","Incorporate CEH logos into website","C:\Users\dpc\Oak Ridge Management(1)\DG Energy & Infrastruction - Documents\01_Platform\01_Thesis_and_Narrative\CEH Index","HEAD","2026-04-30T00:58:47","2026-04-30T01:05:42","53","ai-title|assistant|attachment|last-prompt|queue-operation|system|user","12","21","CEH Index","019e1c9c-4f33-74f3-9f2e-0ea7cb0ac475","2026-05-12T14:34:31Z","ORM","ORM|CEH|DGEI|AI_Systems_Command_Layer","oak ridge management|ceh|ceh index|dg energy|infrastruction|claude","partner_consent_required|promotion_candidate","2026-05-17","Raw / Unreviewed"
"Claude","C:\Users\dpc\.claude\projects","C:\Users\dpc\.claude\projects\c--Users-dpc-OneDrive---Oak-Ridge-Management--1--Documents-GitHub-ceh-pricing-engine\5eaf8b18-3744-4710-a636-fcb3ae6a1157.jsonl","5eaf8b18-3744-4710-a636-fcb3ae6a1157","","c:\Users\dpc\OneDrive - Oak Ridge Management (1)\Documents\GitHub\ceh-pricing-engine","main","2026-04-30T01:07:56","2026-04-30T01:11:56","8","assistant|attachment|file-history-snapshot|last-prompt|queue-operation|user","1","1","ceh-pricing-engine","019e1c9c-3b3b-7c02-ae9f-b1637280f0f6","2026-05-12T14:34:26Z","ORM","ORM|CEH|AI_Systems_Command_Layer|Code_Repo_Work","oak ridge management|ceh|ceh-pricing-engine|claude|github","code_repo_sensitive|promotion_candidate","2026-05-17","Raw / Unreviewed"
"Claude","C:\Users\dpc\.claude\projects","C:\Users\dpc\.claude\projects\c--Users-dpc-Oak-Ridge-Management-1--DG-Energy---Infrastruction---Documents-01-Platform-01-Thesis-and-Narrative-CEH-Index\e89670d0-bad8-4338-98c9-1c75e6cb2348.jsonl","e89670d0-bad8-4338-98c9-1c75e6cb2348","Fix Netlify error on invitation feature","C:\Users\dpc\Oak Ridge Management(1)\DG Energy & Infrastruction - Documents\01_Platform\01_Thesis_and_Narrative\CEH Index","HEAD","2026-05-02T12:05:36","2026-05-02T13:05:41","351","ai-title|assistant|attachment|last-prompt|queue-operation|system|user","85","168","CEH Index","019e1c9c-2740-7b51-988b-53f2d0b25d57","2026-05-12T14:34:21Z","ORM","ORM|CEH|DGEI|AI_Systems_Command_Layer","oak ridge management|ceh|ceh index|dg energy|infrastruction|claude","partner_consent_required|promotion_candidate","2026-05-17","Raw / Unreviewed"
"Claude","C:\Users\dpc\.claude\projects","C:\Users\dpc\.claude\projects\c--Users-dpc-Oak-Ridge-Management-1--DG-Energy---Infrastruction---Documents-01-Platform-01-Thesis-and-Narrative-CEH-Index\b99569ed-987b-4c8c-8a49-c29adf6ea375.jsonl","b99569ed-987b-4c8c-8a49-c29adf6ea375","Build CEH Infrastructure Index institutional platform","C:\Users\dpc\Oak Ridge Management(1)\DG Energy & Infrastruction - Documents\01_Platform\01_Thesis_and_Narrative\CEH Index","HEAD","2026-04-30T11:57:48","2026-05-02T14:46:45","1283","ai-title|assistant|attachment|custom-title|last-prompt|queue-operation|system|user","313","499","CEH Index","019e1c9c-1314-7401-bbdf-748b0c1b8912","2026-05-12T14:34:16Z","ORM","ORM|CEH|DGEI|AI_Systems_Command_Layer|Code_Repo_Work","oak ridge management|ceh|ceh index|dg energy|infrastruction|infrastructure|claude|build","code_repo_sensitive|partner_consent_required|promotion_candidate","2026-05-17","Raw / Unreviewed"
"Claude","C:\Users\dpc\.claude\projects","C:\Users\dpc\.claude\projects\c--Users-dpc-OneDrive---Oak-Ridge-Management--1--Documents-GitHub-ceh-pricing-engine\8abe73a2-e1cf-41c1-a3b4-bc9511028d56.jsonl","8abe73a2-e1cf-41c1-a3b4-bc9511028d56","Review ORM Cowork setup guide","c:\Users\dpc\OneDrive - Oak Ridge Management (1)\Documents\GitHub\ceh-pricing-engine","main","2026-05-04T17:16:41","2026-05-04T17:23:55","80","ai-title|assistant|attachment|file-history-snapshot|last-prompt|queue-operation|user","18","31","ceh-pricing-engine","019e1c9b-ff33-7490-8fec-9076fbf6c33f","2026-05-12T14:34:11Z","ORM","ORM|CEH|AI_Systems_Command_Layer|Code_Repo_Work","orm|oak ridge management|ceh|ceh-pricing-engine|claude|github","code_repo_sensitive|promotion_candidate","2026-05-17","Raw / Unreviewed"
